feature_0,feature_1,feature_2,feature_3,scaled_target
-0.5828362,-0.8571869,-1.3886596,1.9239672,-0.5708648
-0.54868793,-0.9583581,-1.3577307,1.4766808,-0.84084934
-0.54770684,-0.9478993,-1.3786103,1.4897321,0.084812015
-0.53976864,-1.0220492,-1.411229,1.3247828,-0.30088022
-0.53408515,-1.0574183,-1.4426135,1.2835231,-0.14660333
-0.52564216,-1.1114068,-1.4953421,1.1592929,0.23908891
-0.48526764,-1.2877539,-1.6812704,0.8151187,0.5090735
-0.5283342,-1.0926868,-1.5618225,1.0516876,-0.30088022
-0.58549625,-0.89394677,-1.4414909,1.4473528,0.123381235
-0.58828145,-0.8973645,-1.4048926,1.4106213,-0.069464885
-0.6138408,-0.84738773,-1.3712151,1.6760575,-0.30088022
-0.6269988,-0.8357356,-1.4013385,1.7069436,-0.10803411
-0.6255362,-0.84787375,-1.3739041,1.7691164,-0.37801868
-0.61634314,-0.8825097,-1.4026469,1.6997474,-0.84084934
-0.6086191,-0.9059634,-1.4623183,1.686411,-0.8022801
-0.6142015,-0.85948914,-1.3873421,1.8923339,-0.9179878
-0.6533457,-0.7908044,-1.4159193,2.2420905,-0.5322956
-0.6505685,-0.79330313,-1.4115635,2.297681,-0.8022801
-0.6597607,-0.7911456,-1.493193,2.342187,-0.49372634
-0.663694,-0.7816835,-1.5322275,2.30253,-0.6865725
-0.6643038,-0.77965444,-1.5548066,2.3304617,-0.262311
-0.6667429,-0.7863094,-1.5524181,2.3322768,-0.84084934
-0.6607778,-0.7928094,-1.6204263,2.2698467,-0.7251417
-0.6414766,-0.8190755,-1.5852221,2.0398457,-0.33944947
-0.61737025,-0.84760123,-1.5170188,1.8169005,-0.30088022
-0.5623118,-1.0137048,-1.5183526,1.2568771,-0.03089566
-0.5744989,-0.9332381,-1.5495043,1.515046,0.43193504
-0.6743752,-1.1250117,-2.1756349,1.1325878,0.3933658
-0.6481494,-1.2968419,-2.463698,0.78559554,0.5862119
-0.6584039,-1.4683684,-3.000616,0.44367316,0.97190416
-0.57322925,-1.3459321,-2.615975,0.4107627,0.93333495
-0.5283721,-1.0379326,-2.1798258,0.6129297,0.20051968
-0.7848883,-0.6679582,-2.4374242,1.0146968,0.16195047
-0.60206604,-0.4847716,-1.475619,1.1938893,0.3547966
-0.5169184,-0.48088354,-0.95133805,1.6323125,0.084812015
-0.6393195,-0.4807691,-1.2143911,1.2980181,0.16195047
-0.47476938,-0.49814105,-0.5738883,2.222748,-0.10803411
-0.42879757,-0.6148029,-0.23154461,2.0774999,0.04624279
-0.37208965,-0.6468592,-0.07650334,2.0729494,0.084812015
-0.41979778,-0.6145084,0.035581112,2.013122,0.23908891
-0.44974464,-0.5210487,-0.06871176,2.3880436,-0.03089566
-0.4631781,-0.5176159,-0.16992271,2.6598818,-0.069464885
-0.4389309,-0.598748,-0.2461276,2.8770113,-0.45515713
-0.49935,-0.44678038,-0.30391872,3.0827482,-0.22374178
-0.5051317,-0.48889482,-0.33567798,3.2193031,-0.8022801
-0.5427226,-0.43078884,-0.36703628,3.0977457,-0.45515713
-0.50676006,-0.4755718,-0.5128592,2.9442859,-0.5322956
-0.53806335,-0.4114591,-0.52116346,2.7867453,-0.45515713
-0.522884,-0.43719786,-0.47671986,2.7954183,-0.33944947
-0.53706,-0.55555373,-0.868658,2.4464848,0.123381235
-0.38369948,-0.8893927,-0.9195483,1.9847473,-0.14660333
-0.2124171,-1.1681213,-1.0365139,1.9461954,0.16195047
-0.33341193,-1.4031341,-1.8834718,1.4056193,0.5090735
-0.27819628,-1.4760702,-1.7863817,1.4171615,0.7019196
-0.5437423,-1.2337579,-2.5390415,0.77497137,0.3933658
-0.6594063,-0.7046255,-2.2472706,1.2555708,0.27765813
-0.7564318,-0.63077897,-2.4295387,1.7340881,0.16195047
-0.5995232,-0.43282062,-1.4144121,1.9239563,-0.22374178
-0.67152655,-0.42366275,-1.6294717,1.9630293,-0.069464885
-0.5882878,-0.46295,-1.5016415,1.9118394,0.007673565
-0.54119337,-0.45917282,-1.2691818,2.3211138,-0.03089566
-0.48130023,-0.46003038,-0.82078046,2.508469,-0.30088022
-0.47381812,-0.3975848,-0.5371444,2.7190347,0.084812015
-0.53605115,-0.36062247,-0.5518544,2.3425992,-0.18517256
-0.5246522,-0.3845765,-0.40934765,2.8858917,-0.45515713
-0.46903825,-0.438895,-0.3137102,3.1554253,-0.37801868
-0.4813948,-0.45544323,-0.3590864,3.5646608,-0.49372634
-0.4755959,-0.48048514,-0.35939342,3.6818016,-0.6480032
-0.5022847,-0.5031926,-0.35055238,4.083257,-0.45515713
-0.48925883,-0.5241938,-0.43637842,4.219892,-0.99512625
-0.5177061,-0.4985711,-0.31446028,4.0859947,-1.1108339
-0.530911,-0.47999,-0.37524766,3.7259998,-0.8022801
-0.62790745,-0.4323367,-0.1948818,3.4642339,-0.45515713
-0.54434776,-0.5539836,-0.37364805,3.219864,-0.4165879
-0.6082427,-0.54317385,-0.5774791,2.930977,-0.37801868
-0.38809675,-0.88527524,-0.58472174,2.6022317,0.20051968
-0.44670597,-1.096689,-1.1827552,2.1797376,0.20051968
-0.20150322,-1.264136,-0.7683972,2.0733812,0.77905804
-0.22718382,-1.1945134,-0.86869085,2.039888,0.31622735
-0.45868987,-0.9592594,-1.3475916,1.9654408,0.5090735
-0.77173615,-0.6265949,-2.1220193,2.0704787,0.123381235
-0.6051344,-0.41119677,-0.98385966,2.19083,-0.069464885
-0.46980208,-0.37675837,-0.57008916,2.4817088,0.27765813
-0.4169524,-0.39762706,-0.51447546,2.409,0.04624279
-0.42632797,-0.4030239,-0.5872134,2.5748951,-0.069464885
-0.42996684,-0.4578092,-0.54478043,2.6980665,-0.10803411
-0.44336647,-0.44578195,-0.48777398,2.3304217,-0.33944947
-0.4066531,-0.50597745,-0.41232514,2.5112567,0.04624279
-0.44584996,-0.44179302,-0.43535107,2.9652889,-0.6480032
-0.41121584,-0.5690822,-0.45995045,3.1713521,-0.7251417
-0.42524993,-0.5831866,-0.47515905,3.5104098,-0.84084934
-0.41799694,-0.6268834,-0.50201344,3.6865447,-0.7637109
-0.46040615,-0.5650865,-0.44014144,3.9324772,-0.84084934
-0.44099823,-0.6289956,-0.5920217,4.0308022,-0.7637109
-0.45893607,-0.5418976,-0.49847436,3.997102,-1.1108339
-0.49765742,-0.50366014,-0.50223863,3.6564395,-1.1879724
-0.5051844,-0.49630642,-0.3314305,3.5415356,-0.4165879
-0.45872727,-0.5670652,-0.35401213,3.2201111,-0.5708648
-0.35271376,-0.8709592,-0.5159585,2.908476,-0.03089566
-0.23301938,-1.1353008,-0.517423,2.5629113,-0.262311
-0.08025432,-1.3632196,-0.68262744,2.3892944,0.20051968
0.0076512694,-1.5869548,-0.7274521,1.8566374,0.123381235
0.03496921,-1.6810035,-0.7200498,1.372596,0.007673565
-0.27933758,-1.2770993,-1.118448,1.181599,0.27765813
-0.10535449,-0.99035907,-0.23587948,1.944076,0.04624279
-0.20542699,-0.77784437,-0.08817661,2.1516511,0.27765813
-0.37900484,-0.54595155,-0.3341599,2.0688615,0.3547966
-0.30290097,-0.61724305,-0.25150228,2.4802673,-0.10803411
-0.3147302,-0.6098228,-0.45075208,2.4602592,0.007673565
-0.31979042,-0.65120715,-0.3919736,2.5471535,-0.30088022
-0.3069171,-0.6427204,-0.5009108,2.6955316,-0.37801868
-0.31477585,-0.61168844,-0.42027467,2.6774158,-0.8022801
-0.3373555,-0.6735306,-0.4660812,2.7884703,-0.33944947
-0.37942564,-0.6368698,-0.4364624,3.1260064,-0.609434
-0.41677174,-0.6188639,-0.5317962,3.3689837,-0.7251417
-0.40561083,-0.5853992,-0.40261304,3.626818,-0.84084934
-0.49771482,-0.51622194,-0.5140939,3.722035,-0.84084934
-0.49699295,-0.5033902,-0.48992503,3.9371028,-0.5322956
-0.513537,-0.5000303,-0.41602838,3.833936,-0.4165879
-0.5220196,-0.4704308,-0.38756132,3.4357955,-0.84084934
-0.54072344,-0.45459414,-0.39615756,3.1908143,-0.6865725
-0.4007289,-0.63744545,-0.6069531,3.1189187,-0.262311
-0.26974046,-0.9552396,-0.7854216,2.8403823,-0.22374178
-0.16595055,-1.3092129,-1.0147018,2.1714551,0.007673565
-0.03067568,-1.6292325,-0.96421033,1.7807087,-0.03089566
-0.07500312,-2.0012515,-1.4612714,0.96435726,0.5476427
0.055961877,-2.0186996,-1.198605,0.93541074,0.20051968
-0.18231256,-1.6051763,-1.4021791,0.83447075,0.43193504
-0.5615169,-0.88401574,-1.9061852,0.7744874,0.5090735
-0.34378302,-0.7104478,-0.70558023,1.3729016,-0.069464885
-0.2762167,-0.72095835,-0.32815665,1.9940033,0.27765813
-0.32947347,-0.6573864,-0.542674,2.1173384,0.007673565
-0.35263392,-0.56563026,-0.5157855,2.412753,-0.069464885
-0.3779353,-0.54193723,-0.4148845,2.3234038,-0.33944947
-0.32871783,-0.65247124,-0.31286794,2.2884395,-0.14660333
-0.33502117,-0.59864175,-0.30454236,2.1650932,0.20051968
-0.35008645,-0.5391494,-0.31283206,2.3333666,-0.6480032
-0.36252317,-0.6251301,-0.24778658,2.6541889,-0.37801868
-0.3723685,-0.7110519,-0.2601534,2.9899542,-0.609434
-0.3880523,-0.677138,-0.2875101,3.2735894,-0.7251417
-0.44254506,-0.61460906,-0.39011317,3.3734095,-0.8022801
-0.43353647,-0.58004457,-0.4077103,3.3175876,-0.9179878
-0.45907176,-0.50919276,-0.39395398,2.9879212,-1.3036801
-0.49839836,-0.44861865,-0.25808448,2.9123182,-0.99512625
-0.46226847,-0.5810065,-0.58720523,2.8762028,-0.84084934
-0.41398752,-0.9002349,-0.8133727,2.1560633,-0.4165879
-0.14311668,-1.16863,-1.0930072,2.4802196,-0.30088022
-0.062194556,-1.6094654,-1.1162752,1.540341,-0.10803411
0.052966148,-1.9084448,-1.3027678,1.3704984,-0.069464885
0.1752615,-2.0343013,-1.3115168,1.3598914,0.20051968
0.32448578,-2.1498733,-1.0537763,1.5864472,0.3933658
0.2829888,-2.030374,-0.68626106,1.7947383,0.04624279
0.071172,-1.5750444,-0.36976767,1.9440975,0.16195047
0.003184557,-1.3410811,-0.17368782,2.1657782,-0.10803411
-0.10994148,-1.1476188,-0.400472,2.2248147,-0.03089566
-0.18472996,-0.9425214,-0.22282648,2.4450252,0.31622735
-0.43713087,-0.45836106,-0.5586767,2.5131495,-0.14660333
-0.40245134,-0.4674039,-0.58505243,2.498626,-0.18517256
-0.43298298,-0.40930182,-0.7968452,2.5117738,-0.49372634
-0.28635702,-0.6159448,-0.66475123,2.8346782,-0.45515713
-0.34608513,-0.503701,-0.76268774,3.0985372,-0.5708648
-0.37061906,-0.5599055,-0.62316436,3.2753956,-0.49372634
-0.4142279,-0.5782082,-0.6564644,3.7524989,-0.262311
-0.41848692,-0.5520357,-0.605726,3.904349,-0.5708648
-0.4345705,-0.5462783,-0.67920077,4.3223557,-0.5708648
-0.46753153,-0.5263965,-0.53214234,4.2343216,-0.9179878
-0.49089056,-0.50949365,-0.30540335,4.131958,-1.1494032
-0.50086135,-0.520748,-0.13620019,4.356462,-0.99512625
-0.44631714,-0.5779155,-0.27733004,4.6019917,-1.1879724
-0.36121225,-0.7585169,-0.3287233,4.4332504,-0.8022801
-0.21159163,-1.2060624,-0.7226401,3.8475845,-0.4165879
-0.18761042,-1.4570961,-0.73706037,2.896642,-0.262311
-0.020587236,-1.7150627,-0.8722259,2.538895,-0.18517256
0.03484264,-1.8137666,-0.899423,2.1448138,-0.069464885
-0.5914281,-1.4937057,-2.6493983,0.8144789,-0.4165879
-0.57473665,-1.307734,-2.2041245,0.9134444,0.007673565
-0.19553871,-1.3335884,-0.79979575,1.3589088,-0.03089566
-0.1256389,-1.2044171,-0.34700906,1.3721453,0.123381235
-0.12315884,-1.0881997,-0.1241796,1.9624292,-0.18517256
-0.22463459,-0.8557284,-0.27062708,1.8859448,-0.14660333
-0.32974765,-0.6231482,-0.2451404,2.1013358,-0.262311
-0.3051021,-0.64769185,-0.18243724,2.1176958,-0.45515713
-0.32957593,-0.55338866,-0.042060733,2.0155191,-0.5708648
-0.3318789,-0.44244236,-0.047465682,2.2224038,-0.5708648
-0.32961616,-0.46264267,-0.049743533,2.3468478,-0.33944947
-0.31869546,-0.5139686,-0.14663249,2.7989001,-0.49372634
-0.32952362,-0.5269409,-0.13417488,3.1519468,-0.5322956
-0.32918468,-0.5233227,-0.08430767,3.2206893,-0.22374178
-0.3382945,-0.53985554,-0.094272316,3.388357,-0.33944947
-0.35275894,-0.50402004,0.10110277,3.3043168,-0.49372634
-0.36102304,-0.4726045,0.18860012,3.2397041,-0.9179878
-0.42866758,-0.45121682,0.2744158,3.080109,-0.5708648
-0.41317827,-0.55899477,0.088198006,3.4297652,-0.6865725
-0.2720798,-0.91619897,-0.3349576,3.295743,-0.5322956
-0.23788756,-0.9877514,-0.4843436,2.9507062,-0.22374178
-0.120479345,-1.2695203,-0.47337365,2.458548,0.007673565
0.041534066,-1.7222728,-0.8577689,1.8260528,0.084812015
0.16003084,-1.9711425,-1.0759629,1.5297769,-0.069464885
-0.01978314,-1.9660636,-1.3641888,0.8301215,-0.10803411
-0.18607691,-1.686722,-1.2964215,0.7057239,0.084812015
-0.16701773,-1.4732791,-0.7723622,1.0767406,0.123381235
